Métrique,Valeurs,Image
EN,0.0,1_em_500_ddfm.png
SD,0.0,1_em_500_ddfm.png
MI,1.7208456881689926e-15,1_em_500_ddfm.png
VIF,0.0,1_em_500_ddfm.png
QAB/F,,1_em_500_ddfm.png
SSIM,0.2586023726649803,1_em_500_ddfm.png
EN,0.0,20_em_100_ddfm.png
SD,0.0,20_em_100_ddfm.png
MI,1.7208456881689926e-15,20_em_100_ddfm.png
VIF,0.0,20_em_100_ddfm.png
QAB/F,,20_em_100_ddfm.png
SSIM,0.2586023726649803,20_em_100_ddfm.png
EN,0.0,20_em_2_ddfm.png
SD,0.0,20_em_2_ddfm.png
MI,1.7208456881689926e-15,20_em_2_ddfm.png
VIF,0.0,20_em_2_ddfm.png
QAB/F,,20_em_2_ddfm.png
SSIM,0.2586023726649803,20_em_2_ddfm.png
EN,0.0,2_em_20_ddfm.png
SD,0.0,2_em_20_ddfm.png
MI,1.7208456881689926e-15,2_em_20_ddfm.png
VIF,0.0,2_em_20_ddfm.png
QAB/F,,2_em_20_ddfm.png
SSIM,0.2586023726649803,2_em_20_ddfm.png
EN,0.0,500_em_1000_ddfm.png
SD,0.0,500_em_1000_ddfm.png
MI,1.7208456881689926e-15,500_em_1000_ddfm.png
VIF,0.0,500_em_1000_ddfm.png
QAB/F,,500_em_1000_ddfm.png
SSIM,0.2586023726649803,500_em_1000_ddfm.png
EN,0.0,500_em_2_ddfm.png
SD,0.0,500_em_2_ddfm.png
MI,1.7208456881689926e-15,500_em_2_ddfm.png
VIF,0.0,500_em_2_ddfm.png
QAB/F,,500_em_2_ddfm.png
SSIM,0.2586023726649803,500_em_2_ddfm.png
